,name,alpha-3,region,sub-region,year,CO2,renewable,no_renewable,GDP,Population
54,Estonia,EST,Europe,Northern Europe,2019,10180.00031,36.22,63.78,31471100656,1326855
55,Fiji,FJI,Oceania,Melanesia,2018,1629.999995,61.48,38.52,5581393121,883490
56,Fiji,FJI,Oceania,Melanesia,2019,1629.999995,62.31,37.69,5496250694,889955
57,Finland,FIN,Europe,Northern Europe,2018,44580.00183,81.85,18.15,2.75947E+11,5515525
58,Finland,FIN,Europe,Northern Europe,2019,40709.99908,84.32,15.68,2.69296E+11,5521606
59,France,FRA,Europe,Western Europe,2018,307049.9878,91.51,8.49,2.78786E+12,67101930
60,France,FRA,Europe,Western Europe,2019,300519.989,90.65,9.35,2.71552E+12,67248926
61,Gabon,GAB,Africa,Sub-Saharan Africa,2018,5119.999886,42.02,57.98,16862282414,2119275
62,Gabon,GAB,Africa,Sub-Saharan Africa,2019,5250,40.99,59.01,16874450215,2172578
63,Gambia,GMB,Africa,Sub-Saharan Africa,2018,550.0000119,0.96,99.04,1670670669,2280092
64,Gambia,GMB,Africa,Sub-Saharan Africa,2019,579.9999833,0.93,99.07,1826073740,2347696
65,Ghana,GHA,Africa,Sub-Saharan Africa,2018,18680.00031,50.78,49.22,65556464048,29767108
66,Ghana,GHA,Africa,Sub-Saharan Africa,2019,20040.00092,50.26,49.74,66983634224,30417858
67,Greece,GRC,Europe,Southern Europe,2018,65019.99664,30.74,69.26,2.18138E+11,10732882
68,Greece,GRC,Europe,Southern Europe,2019,60000,32.03,67.97,2.09853E+11,10721582
69,Grenada,GRD,Americas,Latin America and the Caribbean,2018,319.9999928,1.38,98.62,1168696296,111449
70,Grenada,GRD,Americas,Latin America and the Caribbean,2019,330.0000131,1.34,98.66,1210603704,112002
71,Guinea,GIN,Africa,Sub-Saharan Africa,2018,3750,35.74,64.26,10907214994,12414292
72,Guinea,GIN,Africa,Sub-Saharan Africa,2019,3950.000048,30.97,69.03,12296665331,12771246
73,Guyana,GUY,Americas,Latin America and the Caribbean,2018,2589.999914,2.65,97.35,4787635821,779007
74,Guyana,GUY,Americas,Latin America and the Caribbean,2019,2849.999905,1.7,98.3,5173759528,782775
75,Hungary,HUN,Europe,Eastern Europe,2018,46400.00153,63.76,36.24,1.60419E+11,9775564
76,Hungary,HUN,Europe,Eastern Europe,2019,46380.00107,64.56,35.44,1.63469E+11,9771141
77,Iceland,ISL,Europe,Northern Europe,2018,1700.000048,99.99,0.01,25737594324,352721
78,Iceland,ISL,Europe,Northern Europe,2019,1639.999986,99.98,0.02,24188038474,360563
79,India,IND,Asia,Southern Asia,2018,2451929.932,22.31,77.69,2.71317E+12,1352642283
80,India,IND,Asia,Southern Asia,2019,2456300.049,24.86,75.14,2.86893E+12,1366417756
81,Indonesia,IDN,Asia,South-eastern Asia,2018,576989.9902,22.14,77.86,1.04224E+12,267670549
82,Indonesia,IDN,Asia,South-eastern Asia,2019,619840.0269,20.14,79.86,1.11919E+12,270625567
83,Iraq,IRQ,Asia,Western Asia,2018,163149.9939,2.39,97.61,2.24228E+11,38433604
84,Iraq,IRQ,Asia,Western Asia,2019,174559.9976,3.03,96.97,2.34094E+11,39309789
85,Ireland,IRL,Europe,Northern Europe,2018,37659.99985,34.78,65.22,3.82674E+11,4867316
86,Ireland,IRL,Europe,Northern Europe,2019,35750,38.14,61.86,3.88699E+11,4934340
87,Israel,ISR,Asia,Western Asia,2018,61080.00183,3.05,96.95,3.70588E+11,8882800
88,Israel,ISR,Asia,Western Asia,2019,62650.00153,4.45,95.55,3.94652E+11,9054000
89,Italy,ITA,Europe,Southern Europe,2018,324880.0049,43.57,56.43,2.09154E+12,60421760
90,Italy,ITA,Europe,Southern Europe,2019,317239.9902,44.04,55.96,2.00358E+12,59729081
91,Jamaica,JAM,Americas,Latin America and the Caribbean,2018,8609.999657,13.44,86.56,15713908816,2934853
92,Jamaica,JAM,Americas,Latin America and the Caribbean,2019,8390.000343,13.67,86.33,16458071068,2948277
93,Japan,JPN,Asia,Eastern Asia,2018,1116150.024,30.01,69.99,4.95481E+12,126811000
94,Japan,JPN,Asia,Eastern Asia,2019,1081569.946,33.46,66.54,5.08177E+12,126633000
95,Kazakhstan,KAZ,Asia,Central Asia,2018,216600.0061,10.95,89.05,1.7934E+11,18276452
96,Kazakhstan,KAZ,Asia,Central Asia,2019,212110.0006,10.47,89.53,1.81666E+11,18513673
97,Kuwait,KWT,Asia,Western Asia,2018,91389.99939,0.12,99.88,1.40645E+11,4137314
98,Kuwait,KWT,Asia,Western Asia,2019,92650.00153,0.22,99.78,1.34629E+11,4207077
